"project","data_score","benford_score_in_time","trailDigit_score_in_time","benford_score_in_defect","trailDigit_score_in_defect","plan_size_score","actual_size_score"
87,60.4553272886675,92.3254830115211,88.4251968503937,93.759189508755,85,2.76179516685846,0.46029919447641
88,47.4082184319299,87.2234648668386,85,70.1544993495972,40,1.84119677790564,0.230149597238205
89,59.2456133444012,92.4517966468945,91.4864864864865,85.1544993495972,85,1.15074798619102,0.230149597238205
90,56.3006850683066,87.7774501692693,86.3114754098361,76.4136888583522,85,2.07134637514384,0.230149597238205
91,57.8723993851595,94.6338037256474,89.4541484716157,85.1544993495972,75,2.53164556962025,0.46029919447641
92,55.1048896714321,91.0885652836631,89.6153846153846,59.7470221916855,85,4.02761795166859,1.15074798619102
93,49.0746280111745,87.7538950439192,84.0721649484536,43.740810491245,77.5,1.15074798619102,0.230149597238205
94,51.7543920412145,85.3387253686822,83.8461538461539,54.8455006504028,85,1.26582278481013,0.230149597238205
95,83.4846146382598,97.7529280454288,90.078165711308,96.8372578920594,85.3992901508429,77.1001150747986,53.7399309551208
96,67.525448910905,96.8366754412221,88.5325697924123,96.0032410971582,85,28.3084004602992,10.4718066743383
97,27.0391047133818,93.737670618505,53.5093167701863,-4.84550065040281,15,4.8331415420023,0
98,23.7756741844952,74.1018677706498,67.6315789473684,0,0,0.920598388952819,0
99,54.9231189424198,95.3194010903957,75.6330014224751,73.5863111416478,85,0,0
100,27.9426968441549,88.0907989323969,78.4146341463415,0,0,1.15074798619102,0
101,68.9189436695528,97.6336322759707,94.6499314812508,95.6665624215706,85.2873563218391,40.2761795166858,0
102,78.5534467878685,97.631807030347,92.5539014373717,94.5239250788246,85,100,1.61104718066743
103,56.9163795404505,96.1412817249332,83.9996122528112,74.7463360842911,85,1.15074798619102,0.46029919447641
104,66.0211056678395,98.5936472806982,89.6166049709149,83.6758754263099,85,34.1772151898734,5.06329113924051
105,58.4369593000628,96.2511687713894,80.8823529411765,86.8771869071437,85,1.38089758342923,0.230149597238205
233,75.0950611697526,95.0098077109974,90.9747102212856,93.6249745177632,85,64.7871116225547,21.1737629459148
234,66.6067397158229,98.2792704749475,84.5047264012781,92.961159485455,85,22.7848101265823,16.1104718066743
235,22.8506896083445,66.4136888583522,70,0,0,0.690448791714614,0
236,84.8469331074128,96.1280140238993,92.2369362920544,95.3841204747407,85.5166475315729,75.9493670886076,63.8665132336018
237,30.188507125331,94.759273368288,86.3717693836978,0,0,0,0
238,62.698981847816,98.3252440697676,92.2829446473729,88.9631477092263,85,10.8170310701956,0.805523590333717
239,28.7728477859326,88.5755519811761,82.1052631578947,0,0,1.95627157652474,0
240,63.3552366089098,97.4941219911066,91.7924528301887,80.2982395387227,85,24.9712313003452,0.575373993095512
241,54.4820599073523,89.4955274723771,62.7987421383648,82.1182279231301,85,6.09896432681243,1.38089758342923
242,37.0474493461099,93.3753517779253,75,-35.4634980487915,85,2.18642117376295,2.18642117376295
375,57.3907101927183,96.0625182897903,81.6387959866221,76.3495061434189,85,2.30149597238205,2.99194476409666
376,37.376025255133,84.8122390626736,52.5,-4.84550065040281,85,6.78941311852704,0
377,NA,NA,NA,0,0,0,0
378,NA,NA,NA,0,0,0,0
379,58.0360246201764,97.1857493495972,79.53125,77.6544993495972,79,7.13463751438435,7.71001150747986
380,53.6281538964546,89.5464710142961,92.6859504132231,54.5365019512085,85,0,0
381,31.9553993363343,89.8919497279174,94.1304347826087,0,0,7.71001150747986,0
382,57.9907457773627,93.5320804705411,85.353982300885,74.1438610517248,73.5106382978723,10.4718066743383,10.9321058688147
383,31.7537320543643,94.1845996840453,96.3377926421405,0,0,0,0
384,28.4235131848039,84.9243271562245,83.0851063829787,0,0,2.53164556962025,0
385,56.938998911117,94.957981555408,85.7142857142857,68.4818642867665,85,3.91254315304948,3.56731875719217
386,24.0668944693456,80.077042491749,64.3243243243243,0,0,0,0
387,NA,NA,NA,0,0,0,0
388,NA,NA,NA,0,0,0,0
389,NA,NA,NA,0,0,0,0
390,NA,NA,NA,0,0,0.115074798619102,0
