project_key,process_name,project_name,start_date_char,end_date_char,team_size,planAM,actualAM,plan_duration_weeks,actual_duration_weeks,plan_duration_days,actual_duration_days,duration_variance_schedule_days,duration_variance_schedule_percent,plan_task_hours,actual_task_hours,effort_variance,effort_variance_percent,BAC,BCWP,ACWP,CV,CPI,main_phases,phase_top_and_bottom,all_phases,plan_date,project_completed_parts_plan_hours,project_completed_parts_actual_hours,ADREM_rate_appraisal,ADREM_rate_failure,ADREM_rate_AF,ADREM_Ratio_AF,ADINJ_rate_HLDINSP,ADREM_rate_REQINSP,ADREM_rate_DLDR,ADREM_rate_DLDINSP,ADREM_rate_CR,ADREM_rate_INSP,ADREM_rate_COMPILE,ADREM_rate_UT,ADREM_rate_BIT,ADREM_rate_ST,ADREM_rate_AT,ADREM_rate_PL,planAM,actualAM,actual_production_rate_const,plan_production_rate_total,actual_production_rate_total,PT_PERCENT_MM,PT_PERCENT_LS,PT_PERCENT_PLAN,PT_PERCENT_REQ,PT_PERCENT_STP,PT_PERCENT_REQINSP,PT_PERCENT_HLD,PT_PERCENT_ITP,PT_PERCENT_HLDINSP,PT_PERCENT_DLD,PT_PERCENT_DLDR,PT_PERCENT_TD,PT_PERCENT_DLDINSP,PT_PERCENT_CODE,PT_PERCENT_CR,PT_PERCENT_COMPILE,PT_PERCENT_INSP,PT_PERCENT_UT,PT_PERCENT_BIT,PT_PERCENT_ST,PT_PERCENT_DOC,PT_PERCENT_PM,PT_PERCENT_AT,PT_PERCENT_PL,AT_PERCENT_MM,AT_PERCENT_LS,AT_PERCENT_PLAN,AT_PERCENT_REQ,AT_PERCENT_STP,AT_PERCENT_REQINSP,AT_PERCENT_HLD,AT_PERCENT_HLDINSP,AT_PERCENT_DLD,AT_PERCENT_DLDR,AT_PERCENT_TD,AT_PERCENT_DLDINSP,AT_PERCENT_CODE,AT_PERCENT_CR,AT_PERCENT_INSP,AT_PERCENT_UT,AT_PERCENT_BIT,AT_PERCENT_ST,AT_PERCENT_DOC,AT_PERCENT_PM,AT_PERCENT_AT,AT_PERCENT_PL,PDINJ_rate_PLAN,PDINJ_rate_REQ,PDINJ_rate_STP,PDINJ_rate_REQINSP,ADINJ_rate_PLAN,ADINJ_rate_REQ,ADINJ_rate_STP,ADINJ_rate_REQINSP,ADINJ_rate_HLD,ADINJ_rate_ITP,ADINJ_rate_HLDINSP,ADINJ_rate_DLD,ADINJ_rate_DLDR,ADINJ_rate_TD,ADINJ_rate_DLDINSP,ADINJ_rate_CODE,ADINJ_rate_CR,ADINJ_rate_COMPILE,ADINJ_rate_INSP,ADINJ_rate_UT,ADINJ_rate_BIT,ADINJ_rate_ST,ADINJ_rate_AT,ADINJ_rate_PL,ADINJ_rate_TOTAL,ADREM_YIELD_PLAN,ADREM_YIELD_REQ,ADREM_YIELD_STP,ADREM_YIELD_REQINSP,ADREM_YIELD_HLD,ADREM_YIELD_ITP,ADREM_YIELD_HLDINSP,ADREM_YIELD_DLD,ADREM_YIELD_DLDR,ADREM_YIELD_TD,ADREM_YIELD_DLDINSP,ADREM_YIELD_CODE,ADREM_YIELD_CR,ADREM_YIELD_COMPILE,ADREM_YIELD_INSP,ADREM_YIELD_UT,ADREM_YIELD_BIT,ADREM_YIELD_ST,ADREM_YIELD_AT,ADREM_YIELD_PL,DDDLDR,DDDLDINSP,DDCR,DDCOMPILE,DDINSP,DDUT,DDBIT,DDST,DDTOTAL
122,'TSP(SM)','/Proyecto/Proyecto Movil',11/5/2013,12/26/2013,2,0,0,4,7,29,52,23,79.31034483,37.00003293,25.96666667,11.03336667,29.81988305,37.00003333,37.00003333,25.96666667,11.03336667,1.424905006,Req:HLD:DLD:Code:UT,Req:UT,Misc:Planning:Reqts:HLD:Design:Design Review:Design Inspect:Code:Code Review:Code Inspect:Test,No Data,37.00003293,25.96666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.73710749,0,5.368553744,10.73710749,0,0,5.368553744,0,0,21.47416961,10.73710749,0,5.368553744,10.73710749,8.734631711,0,5.368553744,5.368553744,0,0,0,0,0,0,9.884467266,0,6.161745828,12.06675225,0,0,4.942233633,0,14.05648267,11.03979461,0,9.114249037,12.90115533,6.675224647,6.931964056,6.22593068,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NA,NA,NaN,NA,NA,NaN,NaN,NA,NaN,NaN,NaN,NA,NaN,NaN,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
224,'TSP(SM)','/Proyecto/Proyecto Movil 2',11/8/2013,12/9/2013,1,0,0,3,5,22,32,10,45.45454545,25.5,15.28333333,10.21666667,40.06535948,25.5,25.5,15.28333333,10.21666667,1.668484188,Req:HLD:DLD:Code:UT,Req:UT,Misc:Planning:Reqts:HLD:Design:Design Review:Design Inspect:Code:Code Inspect:Test,No Data,25.5,15.28333333,0.746887967,0,0.608108108,0,0,0,1.451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76470588,0,10.78431373,11.76470588,0,0,5.882352941,0,0,23.52941176,9.803921569,0,4.901960784,11.76470588,0,0,4.901960784,4.901960784,0,0,0,0,0,0,9.705561614,0,10.6870229,7.088331516,0,0,6.106870229,0,23.44601963,13.52235551,0,6.215921483,10.6870229,0,6.543075245,5.997818975,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0.923076923,0,0,0,0,0,0.837209302,0,0,0,0,0,0,0,0,0,0,0,0,0.26172301,NaN,0,NA,NA,NaN,NA,NA,0,100,NA,NaN,NaN,NA,NA,NaN,NaN,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
160,'TSP(SM)','/Proyecto/Catalogos',11/4/2013,1/25/2014,2,8650,9023,7,59,50,83,33,66,216.4104828,405.2,-188.7895167,-87.23677049,216.4104833,216.4104833,405.2,-188.7895167,0.534083128,Req:HLD:DLD:Code:UT,Req:UT,Misc:Planning:Reqts:Reqts Inspect:HLD:Design:Design Review:Design Inspect:Code:Code Review:Code Inspect:Test,No Data,216.4104828,405.2,0.056774194,0,0.053037608,0,0,0.236220472,0.109041345,0,0.083759888,0.016388965,0,0,0,0,0,0,8650,9023,65.49479797,39.97033734,22.26801579,13.02044134,0,3.936793257,8.799011509,0,1.940756264,5.224431067,0,0,15.02754527,8.290718202,0,9.226555488,12.99080642,8.61812829,0,8.825820152,4.098992738,0,0,0,0,0,0,6.474169135,0,8.341559724,3.923988154,0,1.044751563,4.952286936,0,12.74679171,9.053142481,0,13.82033564,12.37660415,8.839256334,15.05840737,3.368706811,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0.062893082,0,0,0,0,0,0.116166505,0,0,0,0.079760718,0,0,0,0,0,0,0,0,0.027147088,NaN,0,NA,100,NaN,NA,NA,0,66.66666667,NA,0,33.33333333,75,NA,100,NaN,NA,NA,NA,NA,0.443311537,0,0.332483653,0,0.110827884,0,0,0,1.219106727
141,'TSP(SM)','/Proyecto/AutoFactura',11/11/2013,12/20/2013,3,1100,0,5,5,36,40,4,11.11111111,144.8299998,137.9,6.93,4.784920251,144.83,144.83,137.9,6.93,1.050253807,DLD:Code:UT:BIT,DLD:BIT,Misc:Design:Code:Test:Int Test:Postmortem,No Data,144.8299998,137.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,7.595111521,0,15.88068773,0,0,0,0,0,0,0,0,38.54864315,0,0,0,26.23765798,0,0,0,11.73789962,4.142788102,0,0,3.452323419,0,0,8.133913464,0,0,0,0,0,0,0,33.50253807,0,0,0,30.79526227,0,0,13.22214165,5.29369108,0,0,9.052453469,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,0,0,0,0,0,0,0,0,0
370,'TSP(SM)','/CashWare/CloudNodrixCompras',11/26/2014,2/27/2015,4,4528.742004,3010,12,61,85,94,9,10.58823529,561.442319,632.0333333,-73.85768333,-13.15499048,561.4423167,561.4423167,635.3,-73.85768333,0.883743612,DLD:Code:Compile:UT:BIT:ST,DLD:ST,Planning:Design:Design Review:Design Inspect:Code:Code Review:Compile:Code Inspect:Test:Int Test:Sys Test:Postmortem,No Data,561.442319,632.0333333,0.939622642,1.002610966,0.956340956,0.937175708,0,0,0.753351777,0.605895197,1.863799283,0.642857143,0,1.019417476,0.320142285,0,0,0,4528.742004,3010,8.074034335,8.066264069,4.762407046,0,0,2.493577617,0,0,0,0,0,0,46.55444109,9.922892365,0,11.49712956,15.89521269,1.987232929,0.349845971,3.788445014,1.790777596,3.583092925,0.712450748,0,1.424901496,0,0,0,0,1.869627129,0,0,0,0,0,47.54232372,12.39122409,0,9.661937662,11.44190707,2.20716207,3.691788408,3.259321766,5.930594378,0.740994673,0,1.094351564,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0.459260081,0,0,0,0.760543904,0,0,0,0,0,0,0,0,0.311692421,NaN,0,0,0,0,0,0,9.154929577,45.73643411,0,52.85714286,11.2,23.42342342,0,17.64705882,30,24.48979592,0,0,0,19.6013289,12.2923588,8.637873754,0,4.983388704,6.976744186,3.986710963,0,65.44850498
144,'TSP(SM)','/Proyecto/SICAF',11/7/2013,1/16/2014,2,0,0,11,58,78,71,-7,-8.974358974,77.93394976,65.55,12.38395,15.89031481,77.93395,77.93395,65.55,12.38395,1.188923722,No Data,No Data,Misc:Strategy:Reqts Review:Reqts Inspect,No Data,77.93394976,65.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,26.77942845,0,0,0,0,6.759441777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.47648106,0,0,0,0,5.161454361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
134,'TSP(SM)','/Proyecto/integrIX/REQ042/REQ042MonitoreoAdapter',11/6/2013,11/14/2013,3,0,0,2,1,15,9,-6,-40,44.30666674,28.05,8.203333333,22.7113326,44.30666667,36.12,27.91666667,8.203333333,1.293850746,Req,Req:Req,Reqts:Reqts Review:Reqts Inspect,No Data,36.12000008,27.91666667,1.955193483,0,1.955193483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.91784547,0,12.40595839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.65181224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,1.027104137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427807487,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
135,'TSP(SM)','/Proyecto/integrIX/REQ042/REQ042_MonitoreoAdapter_Desarrollo',11/28/2013,2/17/2014,2,0,0,12,60,85,82,-3,-3.529411765,172.9724836,161.2833333,11.58915,6.703871997,172.9724833,172.8724833,161.2833333,11.58915,1.071855844,DLD:Code:UT:ST,DLD:ST,Misc:Design:Design Review:Test Devel:Design Inspect:Code:Code Review:Test:Sys Test:Accept Test,No Data,172.8724836,161.2833333,0.777202073,0.336538462,0.565602155,2.309400444,0,0,0.093457944,0.750586396,0.153649168,0,0,0.373921381,0,0,0,0,0,0,0,0,0,0.260156986,0,0,0,0,0,0,0,0,23.32227409,13.57577199,10.52187584,11.04260417,17.76625549,10.48941415,0,0,10.30842189,0,2.269994976,0,0,0.443230421,0,0.341014777,0,0,0,0,0,0,0,14.4052909,6.634287486,10.26144466,13.21690607,21.27725535,8.070683063,0,21.55626744,0,3.823499018,0,0,0.413351245,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0.946915352,0,0,0,0.262263235,0,0,0,0.086289549,0,0,0,0,0.210809135,NA,NA,NA,NA,NA,NA,NA,0,4.545454545,0,76.19047619,3.333333333,6.896551724,NA,NA,44.82758621,NA,0,0,NA,0,0,0,0,0,0,0,0,0
231,'TSP(SM)','/Proyecto/PASA - IMPUESTOS/Team Project - PASA',7/22/2013,9/5/2013,6,0,0,9,6,64,46,-18,-28.125,802.2510134,456.5833333,52.59301667,10.60251125,802.2510167,496.0430167,443.45,52.59301667,1.118599654,DLD:Code:Compile:UT,DLD:UT,Strategy:Reqts Review:Design:Design Review:Code:Code Review:Compile:Code Inspect:Test,No Data,496.043015,443.45,0.628637951,0.938526513,0.788328228,0.669813737,0,0,0.472027972,0,1.417943107,0.081300813,3.882352941,0.838823718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.035081467,4.517540733,0,0,33.43137767,15.35972096,2.952833086,5.765028554,18.07057635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52746852,4.175944515,0,0,41.61708341,8.340938127,2.693922249,22.71582406,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0.936199723,0.052447552,0,0,0.552583107,0.052516411,1.411764706,0,0.057849912,0,0,0,0,0.363569995,NA,NA,NA,NA,NA,NA,NA,2.222222222,20,NA,NA,1.418439716,38.29787234,12.08791209,1.25,102.3529412,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
266,'TSP(SM)','/Proyectos Bluit/CLOUDNODRIX',4/25/2014,6/12/2014,4,0,560,5,7,36,49,13,36.11111111,302.931367,294.9333333,-8.8853,-2.93310663,302.9313667,302.9313667,311.8166667,-8.8853,0.97150473,DLD:Code:Compile:UT,DLD:UT,Planning:Design:Design Review:Design Inspect:Code:Code Review:Compile:Code Inspect:Test:Postmortem,No Data,302.931367,294.9333333,0.345938613,0.60857538,0.416563352,0.568440039,0,0,0.06822058,0,0.285374554,0,0.64516129,0.115606936,0,0,0,0,0,560,3.819918145,0,1.898734177,0,0,2.03222049,0,0,0,0,0,0,23.29374729,11.60836644,0,9.903233297,23.26365237,11.11487737,0.785794052,9.903233297,7.115605174,0,0,0,0.979270219,0,0,0,0,2.147377939,0,0,0,0,0,25.64421338,9.940099458,0,5.430605787,24.0619349,9.504972875,8.44823689,11.73146474,0,0,0,2.565551537,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0.198325253,0.03411029,0,0,0.126820103,0,0,0,0,0,0,0,0,0.084764919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,12.5,0,0,43.47826087,61.53846154,20,0,100,NaN,NaN,NaN,NaN,3.571428571,0,14.28571429,1.785714286,0,7.142857143,0,0,44.64285714
