element,actualAM,ADRINSP,ADRUT,ADRBIT,ADRST,ADRAT,ADRPL,ADRTOTAL,appraisal_defects,failure_defects,total_defects,overhead_effort,construction_effort,appraisal_effort,failure_effort,ATTOTAL,post_CC_effort
122,0,0,0,0,0,0,0,0,0,0,0,250,685,526,97,1558,0
224,0,0,0,0,0,0,0,4,3,0,4,187,434,241,55,917,0
160,9023,1,0,0,0,0,0,11,9,0,11,3602,8266,11625,819,24312,0
141,0,0,0,0,0,0,0,0,0,0,0,1422,5320,0,1532,8274,1187
370,3010,15,21,12,0,0,0,197,137,64,197,1124,22368,10600,3830,37922,2945
144,0,0,0,0,0,0,0,0,0,0,0,3223,0,710,0,3933,0
134,0,0,0,0,0,0,0,12,12,0,12,0,701,982,0,1683,0
135,0,1,13,0,0,0,0,34,20,14,34,33,4446,2702,2496,9677,410
231,0,1,87,0,0,0,0,166,65,100,166,704,14285,6013,6393,27395,0
266,560,0,4,0,0,0,0,25,10,22,25,834,8796,5897,2169,17696,454
374,0,0,0,0,3,3,0,549,534,18,549,3145,30326,18583,673,52727,673
394,2519,54,0,0,0,0,5,146,135,0,146,3759,5580,6113,248,15700,582
392,0,0,0,0,0,0,0,65,30,0,65,6139,10498,6341,2009,24987,1704
222,0,0,12,0,0,0,0,191,157,12,191,8596,10734,4280,2156,25766,1079
228,5136,0,23,0,0,0,0,110,87,23,110,877,3610,2378,523,7388,295
335,25842,38,1,0,16,0,0,76,53,0,76,23087,19581,11840,3453,57961,452
246,53217,69,90,5,3,0,1,212,104,0,212,35712,45336,12610,8337,101995,1014
324,4154,1,5,0,0,0,0,13,8,0,13,2342,3085,511,465,6403,14
343,7857,28,6,0,3,0,1,58,46,0,58,4857,10350,5916,1597,22720,329
247,5875,0,0,0,0,0,0,89,75,28,89,5242,15676,8012,1046,29976,0
393,218,0,0,0,0,0,0,457,454,2,457,4213,5145,5284,91,14733,517
